date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-01-26,1.1582,0.6976,131.81,1.8391,2.1669,1.6602637614678897,113.80590571576586,1.1782393562068403,71.67092599641128,60.82883381789653,0.6297645587515632,0.5344962850154598,188.94782110091742
1999-01-27,1.1529,0.6968,131.91,1.8313,2.1594,1.6545637198622274,114.41582097319801,1.1791623436902747,72.03079779391689,61.08641289247012,0.6295527767159942,0.5338983050847457,189.30826636050517
1999-01-28,1.141,0.6928,132.25,1.8262,2.1365,1.6469399538106237,115.90709903593338,1.1699156718869783,72.41813602015114,61.90030423589984,0.624794655568941,0.5340510180201264,190.89203233256353
1999-01-29,1.1384,0.691,132.1,1.8087,2.1107,1.647467438494935,116.04005621925508,1.1669707524741528,73.03588212528335,62.585871985597194,0.6294023331674684,0.5393471360212252,191.17221418234445
1999-02-01,1.1338,0.6904,130.88,1.7882,2.0861,1.642236384704519,115.43482095607692,1.1665921037915223,73.1909182418074,62.739082498442066,0.6340454087909629,0.543502229039835,189.5712630359212
1999-02-02,1.1337,0.6888,127.7,1.7741,2.076,1.6459059233449478,112.64002822616213,1.1701707908235162,71.98015895383575,61.51252408477842,0.639028239670819,0.5460982658959537,185.39488966318237
1999-02-03,1.1337,0.6925,126.86,1.7609,2.0566,1.6371119133574006,111.89909147040665,1.1679254926458063,72.04270543472089,61.684333365749296,0.6438185019024363,0.5512496353204317,183.1913357400722
1999-02-04,1.1263,0.6894,127.65,1.7541,2.0461,1.6337394836089354,113.33570096777058,1.1664671341428654,72.77236189498889,62.386980108499095,0.6420956615928397,0.5504618542593226,185.1610095735422
1999-02-05,1.1292,0.6885,127.95,1.7294,2.0431,1.6400871459694988,113.31030818278428,1.1813923904244246,73.98519717821209,62.62542215261123,0.652943217300798,0.5526895404042876,185.83877995642703
1999-02-08,1.1246,0.6888,127.82,1.723,2.0149,1.6326945412311267,113.6581895785168,1.169413813116657,74.18456181079512,63.43739143381806,0.6526987811955891,0.558141843267656,185.5691056910569
1999-02-09,1.1333,0.6911,129.91,1.7548,2.0411,1.6398495152655186,114.62984205417807,1.1631524960109416,74.03122863004332,63.6470530596247,0.6458285844540689,0.5552398216647886,187.97569092750686
1999-02-10,1.1342,0.6954,130.73,1.7569,2.0549,1.6310037388553351,115.2618585787339,1.1696169389265183,74.40947122773066,63.61866757506448,0.6455688997666345,0.5519489999513358,187.99252228932986
1999-02-11,1.1312,0.6975,129.35,1.7427,2.0481,1.6217921146953405,114.3475954738331,1.1752453090032708,74.22390543409652,63.15609589375519,0.6491077064325472,0.5523167814071579,185.44802867383513
1999-02-12,1.1244,0.6917,128.92,1.7459,2.055,1.6255602139655922,114.65670579864815,1.1770433587261586,73.84157168222693,62.73479318734792,0.644023139927831,0.5471532846715328,186.38137921064043
1999-02-15,1.1238,0.6895,129.31,1.7353,2.0531,1.629876722262509,115.06495817761169,1.18313836224284,74.51737451737452,62.98280648775023,0.6476113640292744,0.547367395645609,187.5416968817984
1999-02-16,1.1176,0.6854,131.82,1.7467,2.0854,1.6305806828129559,117.94917680744453,1.193908513196313,75.46802541936222,63.21089479236597,0.6398351176504266,0.5359163709600077,192.32564925590896
1999-02-17,1.1253,0.6873,133.48,1.7751,2.092,1.6372762985595808,118.61725762019016,1.1785251535124783,75.19576361895105,63.804971319311655,0.6339361162751395,0.537906309751434,194.2092245016732
1999-02-18,1.1232,0.6871,134.4,1.7687,2.0842,1.634696550720419,119.65811965811966,1.1783796008367728,75.98801379544298,64.4851741675463,0.6350426867190592,0.5389118126859226,195.60471547081937
1999-02-19,1.1163,0.6838,133.97,1.7502,2.0562,1.6324948815443114,120.01254143151482,1.1748371614672608,76.54553765283967,65.1541678825017,0.637812821391841,0.5428946600525241,195.91985960807256
1999-02-22,1.0992,0.6789,133.61,1.7237,2.0397,1.6190897039328327,121.55203784570598,1.1833265649474967,77.51348842606022,65.5047310879051,0.6376979752857226,0.5389027798205619,196.80365296803657
1999-02-23,1.0969,0.6796,133.14,1.7145,2.039,1.6140376692171865,121.37843012125079,1.1892680081656462,77.65529308836395,65.2967140755272,0.6397783610382036,0.537959784207945,195.90935844614478
1999-02-24,1.1037,0.6883,133.86,1.7465,2.0768,1.6035159087607147,121.28295732536017,1.1891210993415402,76.64471800744347,64.45493066255779,0.6319496135127397,0.5314426040061633,194.4791515327619
1999-02-25,1.1031,0.6888,132.87,1.7566,2.0902,1.601480836236934,120.45145499048138,1.1899123306387338,75.64044176249574,63.56807960960674,0.6279744961858135,0.527748540809492,192.90069686411152
1999-02-26,1.1018,0.6873,131.33,1.7819,2.1071,1.6030845336825257,119.19586131784355,1.1825018238958416,73.70222795892026,62.32736937022449,0.6183287502104494,0.5228987708224574,191.08104175760224
1999-03-01,1.0986,0.6829,131.13,1.7766,2.0936,1.6087274857226534,119.3610049153468,1.178430710345604,73.80952380952381,62.633740924722964,0.618372171563661,0.5247420710737486,192.01932933079516
